investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status,cohort_year,previous_date,gap_days,status
INV000010,2024-12-01,120844,Sip,2471,Maharashtra,Pune,T30,36-45,Male,13.6,Net Banking,Verified,2024,2024-08-28,95.0,At Risk
INV000010,2025-01-12,119093,Sip,12741,Maharashtra,Pune,T30,36-45,Male,13.6,Mandate,Verified,2024,2024-12-01,42.0,At Risk
INV000010,2025-02-10,119120,Sip,2860,Maharashtra,Pune,T30,36-45,Male,13.6,Mandate,Verified,2024,2025-01-12,29.0,Active
INV000010,2025-03-01,125498,Sip,2792,Maharashtra,Pune,T30,36-45,Male,13.6,Net Banking,Verified,2024,2025-02-10,19.0,Active
INV000011,2024-01-03,120507,Sip,2230,West Bengal,Kolkata,T30,26-35,Male,9.6,Mandate,Verified,2024,,,Active
INV000011,2024-01-22,101207,Sip,2641,West Bengal,Kolkata,T30,26-35,Male,9.6,UPI,Verified,2024,2024-01-03,19.0,Active
INV000011,2024-03-03,102887,Sip,59280,West Bengal,Kolkata,T30,26-35,Male,9.6,Cheque,Verified,2024,2024-01-22,41.0,At Risk
INV000011,2024-03-06,118633,Sip,7578,West Bengal,Kolkata,T30,26-35,Male,9.6,Cheque,Verified,2024,2024-03-03,3.0,Active
INV000011,2024-04-11,102887,Sip,15632,West Bengal,Kolkata,T30,26-35,Male,9.6,UPI,Verified,2024,2024-03-06,36.0,At Risk
INV000011,2024-08-14,120844,Sip,980,West Bengal,Kolkata,T30,26-35,Male,9.6,UPI,Verified,2024,2024-04-11,125.0,At Risk
INV000011,2024-08-31,119552,Sip,5579,West Bengal,Kolkata,T30,26-35,Male,9.6,Mandate,Verified,2024,2024-08-14,17.0,Active
INV000012,2024-03-27,120844,Sip,5553,Uttar Pradesh,Kanpur,B30,46-55,Male,51.6,UPI,Verified,2024,,,Active
INV000012,2024-04-07,119094,Sip,9594,Uttar Pradesh,Kanpur,B30,46-55,Male,51.6,Mandate,Verified,2024,2024-03-27,11.0,Active
INV000012,2024-08-17,148569,Sip,2125,Uttar Pradesh,Kanpur,B30,46-55,Male,51.6,UPI,Verified,2024,2024-04-07,132.0,At Risk
INV000012,2024-11-12,118634,Sip,3243,Uttar Pradesh,Kanpur,B30,46-55,Male,51.6,Mandate,Verified,2024,2024-08-17,87.0,At Risk
INV000012,2025-01-16,100016,Sip,1097,Uttar Pradesh,Kanpur,B30,46-55,Male,51.6,Net Banking,Verified,2024,2024-11-12,65.0,At Risk
INV000012,2025-03-05,119552,Sip,13290,Uttar Pradesh,Kanpur,B30,46-55,Male,51.6,Cheque,Verified,2024,2025-01-16,48.0,At Risk
INV000012,2025-03-15,148568,Sip,3088,Uttar Pradesh,Kanpur,B30,46-55,Male,51.6,UPI,Verified,2024,2025-03-05,10.0,Active
INV000012,2025-04-30,118633,Sip,2149,Uttar Pradesh,Kanpur,B30,46-55,Male,51.6,UPI,Verified,2024,2025-03-15,46.0,At Risk
INV000013,2024-04-18,149324,Sip,4176,Maharashtra,Nashik,B30,18-25,Male,5.2,Net Banking,Verified,2024,,,Active
INV000013,2024-07-17,120503,Sip,42280,Maharashtra,Nashik,B30,18-25,Male,5.2,Mandate,Verified,2024,2024-04-18,90.0,At Risk
INV000013,2024-08-04,149323,Sip,2301,Maharashtra,Nashik,B30,18-25,Male,5.2,Net Banking,Verified,2024,2024-07-17,18.0,Active
INV000013,2024-11-16,119598,Sip,11684,Maharashtra,Nashik,B30,18-25,Male,5.2,Cheque,Verified,2024,2024-08-04,104.0,At Risk
INV000013,2024-11-28,119094,Sip,6062,Maharashtra,Nashik,B30,18-25,Male,5.2,Net Banking,Verified,2024,2024-11-16,12.0,Active
INV000013,2024-12-13,119093,Sip,8611,Maharashtra,Nashik,B30,18-25,Male,5.2,Net Banking,Verified,2024,2024-11-28,15.0,Active
INV000013,2025-03-16,118635,Sip,499,Maharashtra,Nashik,B30,18-25,Male,5.2,Net Banking,Verified,2024,2024-12-13,93.0,At Risk
INV000014,2024-02-23,118635,Sip,5357,Tamil Nadu,Chennai,T30,18-25,Male,4.3,Mandate,Verified,2024,,,Active
INV000014,2024-03-27,101206,Sip,5964,Tamil Nadu,Chennai,T30,18-25,Male,4.3,Net Banking,Verified,2024,2024-02-23,33.0,Active
INV000014,2024-06-02,125497,Sip,6852,Tamil Nadu,Chennai,T30,18-25,Male,4.3,Mandate,Verified,2024,2024-03-27,67.0,At Risk
INV000014,2024-10-08,119120,Sip,46056,Tamil Nadu,Chennai,T30,18-25,Male,4.3,UPI,Verified,2024,2024-06-02,128.0,At Risk
INV000014,2024-11-26,149322,Sip,26429,Tamil Nadu,Chennai,T30,18-25,Male,4.3,Mandate,Verified,2024,2024-10-08,49.0,At Risk
INV000014,2025-01-12,119120,Sip,8150,Tamil Nadu,Chennai,T30,18-25,Male,4.3,Mandate,Verified,2024,2024-11-26,47.0,At Risk
INV000014,2025-05-20,149323,Sip,41507,Tamil Nadu,Chennai,T30,18-25,Male,4.3,Cheque,Verified,2024,2025-01-12,128.0,At Risk
INV000015,2025-01-05,102887,Sip,48468,Gujarat,Surat,T30,36-45,Male,27.8,UPI,Verified,2025,,,Active
INV000016,2024-06-18,100025,Sip,28090,Tamil Nadu,Chennai,T30,26-35,Female,21.0,Cheque,Verified,2024,,,Active
INV000017,2025-03-23,120503,Sip,12884,Gujarat,Surat,T30,46-55,Female,31.5,UPI,Pending,2024,,,Active
INV000018,2025-01-18,102886,Sip,8983,Telangana,Hyderabad,T30,56+,Male,37.9,Net Banking,Verified,2024,,,Active
INV000018,2025-03-09,100016,Sip,2834,Telangana,Hyderabad,T30,56+,Male,37.9,UPI,Verified,2024,2025-01-18,50.0,At Risk
INV000019,2024-01-17,101207,Sip,10386,Gujarat,Ahmedabad,T30,18-25,Female,5.1,Net Banking,Verified,2024,,,Active
INV000019,2024-01-21,100016,Sip,4135,Gujarat,Ahmedabad,T30,18-25,Female,5.1,Cheque,Verified,2024,2024-01-17,4.0,Active
INV000019,2025-03-02,118635,Sip,23528,Gujarat,Ahmedabad,T30,18-25,Female,5.1,Net Banking,Verified,2024,2024-01-21,406.0,At Risk
INV000020,2024-06-28,120842,Sip,5092,Delhi,Noida,T30,36-45,Female,17.0,Cheque,Pending,2024,,,Active
INV000020,2024-07-14,148567,Sip,550,Delhi,Noida,T30,36-45,Female,17.0,Mandate,Verified,2024,2024-06-28,16.0,Active
INV000021,2024-06-06,120844,Sip,20323,Uttar Pradesh,Agra,B30,46-55,Male,76.8,Cheque,Pending,2024,,,Active
INV000021,2024-06-12,119599,Sip,48124,Uttar Pradesh,Agra,B30,46-55,Male,76.8,UPI,Verified,2024,2024-06-06,6.0,Active
INV000021,2025-03-21,120843,Sip,5229,Uttar Pradesh,Agra,B30,46-55,Male,76.8,Mandate,Verified,2024,2024-06-12,282.0,At Risk
INV000022,2024-05-18,149324,Sip,8800,Telangana,Hyderabad,T30,36-45,Male,37.4,UPI,Verified,2024,,,Active
INV000022,2024-06-27,148568,Sip,3421,Telangana,Hyderabad,T30,36-45,Male,37.4,Mandate,Verified,2024,2024-05-18,40.0,At Risk
INV000023,2024-03-21,120507,Sip,17369,West Bengal,Kolkata,T30,46-55,Female,61.9,Mandate,Verified,2024,,,Active
INV000023,2024-04-05,148568,Sip,46056,West Bengal,Kolkata,T30,46-55,Female,61.9,Net Banking,Verified,2024,2024-03-21,15.0,Active
INV000023,2024-06-10,119093,Sip,1075,West Bengal,Kolkata,T30,46-55,Female,61.9,Cheque,Verified,2024,2024-04-05,66.0,At Risk
INV000023,2024-07-05,120843,Sip,15838,West Bengal,Kolkata,T30,46-55,Female,61.9,Net Banking,Verified,2024,2024-06-10,25.0,Active
INV000023,2024-09-28,119552,Sip,55420,West Bengal,Kolkata,T30,46-55,Female,61.9,Net Banking,Verified,2024,2024-07-05,85.0,At Risk
INV000023,2024-12-11,149322,Sip,52489,West Bengal,Kolkata,T30,46-55,Female,61.9,UPI,Verified,2024,2024-09-28,74.0,At Risk
INV000023,2025-04-05,148569,Sip,5284,West Bengal,Kolkata,T30,46-55,Female,61.9,Cheque,Verified,2024,2024-12-11,115.0,At Risk
INV000023,2025-05-05,100016,Sip,8998,West Bengal,Kolkata,T30,46-55,Female,61.9,Cheque,Verified,2024,2025-04-05,30.0,Active
INV000024,2024-05-05,102886,Sip,4483,Delhi,Gurugram,T30,36-45,Female,27.0,Mandate,Verified,2024,,,Active
INV000024,2024-10-19,102885,Sip,53450,Delhi,Gurugram,T30,36-45,Female,27.0,UPI,Verified,2024,2024-05-05,167.0,At Risk
INV000024,2024-12-27,119093,Sip,2215,Delhi,Gurugram,T30,36-45,Female,27.0,UPI,Verified,2024,2024-10-19,69.0,At Risk
INV000024,2025-02-16,119095,Sip,3273,Delhi,Gurugram,T30,36-45,Female,27.0,Mandate,Verified,2024,2024-12-27,51.0,At Risk
INV000024,2025-03-04,100025,Sip,3534,Delhi,Gurugram,T30,36-45,Female,27.0,Net Banking,Pending,2024,2025-02-16,16.0,Active
INV000025,2024-05-01,102886,Sip,13678,Haryana,Gurugram,T30,26-35,Male,11.5,Net Banking,Pending,2024,,,Active
INV000026,2024-01-18,102886,Sip,22997,West Bengal,Kolkata,T30,36-45,Male,29.5,Mandate,Verified,2024,,,Active
INV000026,2024-06-23,149322,Sip,516,West Bengal,Kolkata,T30,36-45,Male,29.5,Cheque,Verified,2024,2024-01-18,157.0,At Risk
INV000026,2024-11-02,120841,Sip,27393,West Bengal,Kolkata,T30,36-45,Male,29.5,Mandate,Verified,2024,2024-06-23,132.0,At Risk
INV000026,2025-03-27,118632,Sip,876,West Bengal,Kolkata,T30,36-45,Male,29.5,Mandate,Verified,2024,2024-11-02,145.0,At Risk
INV000027,2024-05-29,148567,Sip,8455,Punjab,Chandigarh,T30,26-35,Male,20.7,Mandate,Verified,2024,,,Active
INV000027,2025-05-05,100016,Sip,10623,Punjab,Chandigarh,T30,26-35,Male,20.7,Net Banking,Verified,2024,2024-05-29,341.0,At Risk
INV000028,2024-02-07,120504,Sip,2347,Gujarat,Surat,T30,18-25,Female,6.1,Cheque,Verified,2024,,,Active
INV000028,2024-05-20,119094,Sip,8402,Gujarat,Surat,T30,18-25,Female,6.1,UPI,Pending,2024,2024-02-07,103.0,At Risk
INV000028,2024-07-23,120503,Sip,9909,Gujarat,Surat,T30,18-25,Female,6.1,Mandate,Verified,2024,2024-05-20,64.0,At Risk
INV000028,2024-08-19,118632,Sip,58103,Gujarat,Surat,T30,18-25,Female,6.1,Net Banking,Verified,2024,2024-07-23,27.0,Active
INV000028,2025-04-14,101207,Sip,932,Gujarat,Surat,T30,18-25,Female,6.1,Mandate,Verified,2024,2024-08-19,238.0,At Risk
INV000028,2025-05-20,149323,Sip,4569,Gujarat,Surat,T30,18-25,Female,6.1,Net Banking,Verified,2024,2025-04-14,36.0,At Risk
INV000029,2024-05-16,118635,Sip,2219,Rajasthan,Udaipur,B30,26-35,Female,7.6,Cheque,Verified,2024,,,Active
INV000029,2024-07-26,100033,Sip,17417,Rajasthan,Udaipur,B30,26-35,Female,7.6,Net Banking,Verified,2024,2024-05-16,71.0,At Risk
INV000029,2024-08-11,149323,Sip,17476,Rajasthan,Udaipur,B30,26-35,Female,7.6,Net Banking,Verified,2024,2024-07-26,16.0,Active
INV000029,2024-09-11,125497,Sip,1981,Rajasthan,Udaipur,B30,26-35,Female,7.6,UPI,Verified,2024,2024-08-11,31.0,Active
INV000029,2024-11-05,118632,Sip,3544,Rajasthan,Udaipur,B30,26-35,Female,7.6,UPI,Verified,2024,2024-09-11,55.0,At Risk
INV000029,2025-02-09,148568,Sip,3267,Rajasthan,Udaipur,B30,26-35,Female,7.6,Mandate,Verified,2024,2024-11-05,96.0,At Risk
INV000029,2025-05-15,102887,Sip,44108,Rajasthan,Udaipur,B30,26-35,Female,7.6,UPI,Verified,2024,2025-02-09,95.0,At Risk
INV000030,2024-02-19,125497,Sip,10391,Delhi,Noida,T30,18-25,Female,5.1,Net Banking,Verified,2024,,,Active
INV000030,2024-02-27,119093,Sip,13303,Delhi,Noida,T30,18-25,Female,5.1,Net Banking,Verified,2024,2024-02-19,8.0,Active
INV000030,2024-03-11,119120,Sip,586,Delhi,Noida,T30,18-25,Female,5.1,Cheque,Verified,2024,2024-02-27,13.0,Active
INV000030,2024-04-25,120843,Sip,2937,Delhi,Noida,T30,18-25,Female,5.1,UPI,Verified,2024,2024-03-11,45.0,At Risk
INV000030,2024-05-16,119092,Sip,7126,Delhi,Noida,T30,18-25,Female,5.1,Mandate,Verified,2024,2024-04-25,21.0,Active
INV000030,2024-08-16,148567,Sip,2182,Delhi,Noida,T30,18-25,Female,5.1,UPI,Verified,2024,2024-05-16,92.0,At Risk
INV000030,2024-11-24,118635,Sip,23189,Delhi,Noida,T30,18-25,Female,5.1,Net Banking,Verified,2024,2024-08-16,100.0,At Risk
INV000030,2025-01-23,118636,Sip,14544,Delhi,Noida,T30,18-25,Female,5.1,Net Banking,Verified,2024,2024-11-24,60.0,At Risk
INV000030,2025-03-06,119094,Sip,2212,Delhi,Noida,T30,18-25,Female,5.1,Mandate,Pending,2024,2025-01-23,42.0,At Risk
INV000031,2024-07-13,120842,Sip,442,Madhya Pradesh,Indore,T30,36-45,Male,27.3,UPI,Verified,2024,,,Active
INV000031,2024-07-27,148568,Sip,6728,Madhya Pradesh,Indore,T30,36-45,Male,27.3,Mandate,Verified,2024,2024-07-13,14.0,Active
INV000031,2025-04-29,119094,Sip,6551,Madhya Pradesh,Indore,T30,36-45,Male,27.3,Net Banking,Verified,2024,2024-07-27,276.0,At Risk
INV000032,2024-03-01,120843,Sip,14929,Delhi,Noida,T30,36-45,Male,21.8,UPI,Verified,2024,,,Active
INV000032,2024-08-14,120844,Sip,512,Delhi,Noida,T30,36-45,Male,21.8,Net Banking,Verified,2024,2024-03-01,166.0,At Risk
INV000032,2024-12-11,120507,Sip,2499,Delhi,Noida,T30,36-45,Male,21.8,Mandate,Verified,2024,2024-08-14,119.0,At Risk
INV000032,2025-01-02,148568,Sip,2856,Delhi,Noida,T30,36-45,Male,21.8,Mandate,Verified,2024,2024-12-11,22.0,Active
INV000033,2024-06-24,119092,Sip,527,Delhi,New Delhi,T30,36-45,Female,12.4,UPI,Verified,2024,,,Active
INV000033,2024-08-19,119093,Sip,2990,Delhi,New Delhi,T30,36-45,Female,12.4,Mandate,Verified,2024,2024-06-24,56.0,At Risk
INV000033,2024-10-08,148567,Sip,403,Delhi,New Delhi,T30,36-45,Female,12.4,Mandate,Verified,2024,2024-08-19,50.0,At Risk
INV000033,2024-10-14,148569,Sip,584,Delhi,New Delhi,T30,36-45,Female,12.4,UPI,Verified,2024,2024-10-08,6.0,Active
INV000033,2024-12-05,148569,Sip,8031,Delhi,New Delhi,T30,36-45,Female,12.4,Cheque,Verified,2024,2024-10-14,52.0,At Risk
INV000033,2025-02-10,149324,Sip,4534,Delhi,New Delhi,T30,36-45,Female,12.4,UPI,Verified,2024,2024-12-05,67.0,At Risk
INV000033,2025-02-11,120841,Sip,2587,Delhi,New Delhi,T30,36-45,Female,12.4,UPI,Verified,2024,2025-02-10,1.0,Active
INV000033,2025-05-09,101207,Sip,26377,Delhi,New Delhi,T30,36-45,Female,12.4,Cheque,Verified,2024,2025-02-11,87.0,At Risk
INV000034,2025-02-10,125497,Sip,936,Punjab,Chandigarh,T30,26-35,Male,24.5,Mandate,Verified,2024,,,Active
INV000035,2024-11-11,119092,Sip,836,Gujarat,Ahmedabad,T30,26-35,Male,20.9,Cheque,Verified,2024,,,Active
INV000035,2025-04-04,118634,Sip,874,Gujarat,Ahmedabad,T30,26-35,Male,20.9,Cheque,Verified,2024,2024-11-11,144.0,At Risk
INV000036,2024-05-29,120503,Sip,2722,West Bengal,Kolkata,T30,36-45,Male,49.7,UPI,Verified,2024,,,Active
INV000036,2024-09-05,119551,Sip,8337,West Bengal,Kolkata,T30,36-45,Male,49.7,Net Banking,Verified,2024,2024-05-29,99.0,At Risk
INV000037,2024-11-22,120505,Sip,2371,Rajasthan,Udaipur,B30,26-35,Male,7.5,Mandate,Verified,2024,,,Active
INV000037,2025-01-24,118636,Sip,6996,Rajasthan,Udaipur,B30,26-35,Male,7.5,Mandate,Verified,2024,2024-11-22,63.0,At Risk
INV000038,2024-08-14,119095,Sip,903,West Bengal,Kolkata,T30,56+,Female,22.4,Cheque,Verified,2024,,,Active
INV000038,2025-02-13,120843,Sip,20442,West Bengal,Kolkata,T30,56+,Female,22.4,Mandate,Pending,2024,2024-08-14,183.0,At Risk
INV000038,2025-03-04,149323,Sip,7603,West Bengal,Kolkata,T30,56+,Female,22.4,UPI,Verified,2024,2025-02-13,19.0,Active
INV000038,2025-03-09,118636,Sip,43082,West Bengal,Kolkata,T30,56+,Female,22.4,Cheque,Verified,2024,2025-03-04,5.0,Active
INV000039,2024-04-27,101206,Sip,2453,Madhya Pradesh,Bhopal,B30,26-35,Male,6.5,UPI,Verified,2024,,,Active
INV000039,2024-05-25,118635,Sip,846,Madhya Pradesh,Bhopal,B30,26-35,Male,6.5,Mandate,Verified,2024,2024-04-27,28.0,Active
INV000039,2024-07-10,120506,Sip,1030,Madhya Pradesh,Bhopal,B30,26-35,Male,6.5,Mandate,Verified,2024,2024-05-25,46.0,At Risk
INV000039,2024-11-16,101207,Sip,57252,Madhya Pradesh,Bhopal,B30,26-35,Male,6.5,Cheque,Verified,2024,2024-07-10,129.0,At Risk
INV000039,2025-02-18,120842,Sip,8927,Madhya Pradesh,Bhopal,B30,26-35,Male,6.5,Net Banking,Verified,2024,2024-11-16,94.0,At Risk
INV000039,2025-04-05,119095,Sip,28830,Madhya Pradesh,Bhopal,B30,26-35,Male,6.5,Cheque,Verified,2024,2025-02-18,46.0,At Risk
INV000040,2024-06-26,148569,Sip,1989,Karnataka,Mysore,B30,26-35,Male,14.7,Net Banking,Verified,2024,,,Active
INV000040,2024-10-22,120507,Sip,2669,Karnataka,Mysore,B30,26-35,Male,14.7,Net Banking,Verified,2024,2024-06-26,118.0,At Risk
INV000040,2024-10-31,119095,Sip,55026,Karnataka,Mysore,B30,26-35,Male,14.7,UPI,Verified,2024,2024-10-22,9.0,Active
INV000040,2025-01-02,125498,Sip,10477,Karnataka,Mysore,B30,26-35,Male,14.7,UPI,Verified,2024,2024-10-31,63.0,At Risk
INV000040,2025-02-01,118636,Sip,5386,Karnataka,Mysore,B30,26-35,Male,14.7,Cheque,Verified,2024,2025-01-02,30.0,Active
INV000041,2024-09-30,120503,Sip,2747,Karnataka,Mysore,B30,46-55,Male,25.0,UPI,Verified,2024,,,Active
INV000042,2025-03-14,120503,Sip,598,Punjab,Amritsar,B30,26-35,Female,15.3,Net Banking,Pending,2025,,,Active
INV000042,2025-04-15,119599,Sip,55677,Punjab,Amritsar,B30,26-35,Female,15.3,UPI,Verified,2025,2025-03-14,32.0,Active
INV000042,2025-05-11,118635,Sip,21305,Punjab,Amritsar,B30,26-35,Female,15.3,Mandate,Verified,2025,2025-04-15,26.0,Active
INV000042,2025-05-21,148567,Sip,8474,Punjab,Amritsar,B30,26-35,Female,15.3,Mandate,Verified,2025,2025-05-11,10.0,Active
INV000043,2025-03-31,101208,Sip,22261,Madhya Pradesh,Indore,T30,26-35,Male,23.7,UPI,Verified,2024,,,Active
INV000044,2025-01-11,119092,Sip,841,Karnataka,Mysore,B30,36-45,Male,34.9,Mandate,Verified,2024,,,Active
INV000044,2025-01-28,125497,Sip,1035,Karnataka,Mysore,B30,36-45,Male,34.9,Mandate,Pending,2024,2025-01-11,17.0,Active
INV000045,2024-03-13,118632,Sip,896,Uttar Pradesh,Lucknow,T30,36-45,Male,26.2,UPI,Pending,2024,,,Active
INV000045,2024-06-25,120841,Sip,24208,Uttar Pradesh,Lucknow,T30,36-45,Male,26.2,Cheque,Pending,2024,2024-03-13,104.0,At Risk
INV000045,2024-08-08,119120,Sip,805,Uttar Pradesh,Lucknow,T30,36-45,Male,26.2,UPI,Pending,2024,2024-06-25,44.0,At Risk
INV000045,2024-09-01,119120,Sip,8189,Uttar Pradesh,Lucknow,T30,36-45,Male,26.2,UPI,Verified,2024,2024-08-08,24.0,Active
INV000045,2024-11-12,119095,Sip,26088,Uttar Pradesh,Lucknow,T30,36-45,Male,26.2,Net Banking,Verified,2024,2024-09-01,72.0,At Risk
INV000045,2025-03-01,119093,Sip,54252,Uttar Pradesh,Lucknow,T30,36-45,Male,26.2,Cheque,Verified,2024,2024-11-12,109.0,At Risk
INV000046,2025-02-14,119599,Sip,17888,Gujarat,Ahmedabad,T30,26-35,Female,24.5,UPI,Verified,2024,,,Active
INV000046,2025-03-05,100025,Sip,510,Gujarat,Ahmedabad,T30,26-35,Female,24.5,Net Banking,Verified,2024,2025-02-14,19.0,Active
INV000046,2025-04-28,119551,Sip,448,Gujarat,Ahmedabad,T30,26-35,Female,24.5,Mandate,Verified,2024,2025-03-05,54.0,At Risk
INV000046,2025-05-26,119120,Sip,14160,Gujarat,Ahmedabad,T30,26-35,Female,24.5,Net Banking,Verified,2024,2025-04-28,28.0,Active
INV000047,2024-01-10,119094,Sip,14078,Haryana,Faridabad,B30,36-45,Male,23.6,Mandate,Verified,2024,,,Active
INV000047,2024-03-27,102887,Sip,4916,Haryana,Faridabad,B30,36-45,Male,23.6,UPI,Verified,2024,2024-01-10,77.0,At Risk
INV000048,2024-03-27,120507,Sip,7116,Rajasthan,Jaipur,T30,36-45,Female,15.0,Mandate,Verified,2024,,,Active
INV000048,2024-04-21,118634,Sip,2136,Rajasthan,Jaipur,T30,36-45,Female,15.0,Net Banking,Verified,2024,2024-03-27,25.0,Active
INV000048,2024-05-23,148568,Sip,8407,Rajasthan,Jaipur,T30,36-45,Female,15.0,UPI,Verified,2024,2024-04-21,32.0,Active
INV000048,2024-11-07,101207,Sip,836,Rajasthan,Jaipur,T30,36-45,Female,15.0,UPI,Verified,2024,2024-05-23,168.0,At Risk
